volunteer_id,task_id,match_score,relevance_label,skill_match_ratio,skill_exact_match,skill_count_matched,distance_km,distance_score,distance_normalized,within_travel_limit,task_priority_score,deadline_urgency,is_critical_deadline,availability_match,avail_full_time,avail_weekends_only,vehicle_match,has_vehicle,language_match,level_effort_diff,level_fit,reliability_score,slots_remaining,slot_ratio,task_not_full,fill_ratio,preferred_type_match,hours_fit,past_tasks_log,experience_norm,response_score,same_city
V0001,T0081,68.59,1,1.0,1.0,2,1189.0565982802002,0.0,237.81131965604004,0.0,0.85,0.5714285714285714,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.0,0.0,0.711,4.0,0.5,1.0,0.5,0.0,1.0,1.0986122886681098,0.02,0.1333333333333333,0.0
V0001,T0028,42.76,0,0.0,0.0,0,1586.5420508228062,0.0,317.3084101645612,0.0,0.92,0.7142857142857143,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.711,1.0,0.5,1.0,0.5,0.0,1.0,1.0986122886681098,0.02,0.1333333333333333,0.0
V0001,T0075,52.75,0,0.5,0.0,1,1311.4963767702156,0.0,262.2992753540431,0.0,0.44,0.8571428571428572,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-2.0,0.0,0.711,5.0,0.625,1.0,0.375,0.0,1.0,1.0986122886681098,0.02,0.1333333333333333,0.0
V0001,T0066,39.8,0,0.0,0.0,0,16.693561792885546,0.0,3.3387123585771095,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.711,1.0,0.5,1.0,0.5,0.0,1.0,1.0986122886681098,0.02,0.1333333333333333,1.0
V0001,T0037,48.42,0,0.3333333333333333,0.0,1,1200.9363544453881,0.0,240.18727088907764,0.0,0.65,0.7142857142857143,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.711,2.0,1.0,1.0,0.0,0.0,1.0,1.0986122886681098,0.02,0.1333333333333333,0.0
V0001,T0006,32.78,0,0.0,0.0,0,17.313021410522712,0.0,3.462604282104542,0.0,0.75,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.711,2.0,0.4,1.0,0.6,0.0,1.0,1.0986122886681098,0.02,0.1333333333333333,1.0
V0001,T0021,42.54,0,0.0,0.0,0,1363.1826215550386,0.0,272.63652431100775,0.0,0.36,0.8571428571428572,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.711,4.0,0.8,1.0,0.2,0.0,1.0,1.0986122886681098,0.02,0.1333333333333333,0.0
V0001,T0069,41.42,0,0.0,0.0,0,1664.96391156038,0.0,332.992782312076,0.0,0.64,0.9285714285714286,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.711,2.0,1.0,1.0,0.0,0.0,1.0,1.0986122886681098,0.02,0.1333333333333333,0.0
V0001,T0073,32.19,0,0.0,0.0,0,1631.6871788014514,0.0,326.3374357602903,0.0,0.51,0.5714285714285714,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.711,2.0,0.4,1.0,0.6,0.0,1.0,1.0986122886681098,0.02,0.1333333333333333,0.0
V0001,T0009,50.5,0,0.5,0.0,1,893.7524243128328,0.0,178.75048486256657,0.0,0.52,0.7142857142857143,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.0,0.0,0.711,6.0,0.75,1.0,0.25,1.0,1.0,1.0986122886681098,0.02,0.1333333333333333,0.0
